case,activity,resource,timestamp,Org,Project,Task,Role
Case 2501,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/28 12:08:04.000,organizational unit 65468,project 147582,UNKNOWN,ADMINISTRATION,
Case 2501,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/04/09 15:11:54.000,organizational unit 65468,project 147582,UNKNOWN,BUDGET OWNER,
Case 2501,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/16 05:15:28.000,organizational unit 65468,project 147582,UNKNOWN,SUPERVISOR,
Case 2501,Request Payment,SYSTEM,2018/04/16 09:14:28.000,organizational unit 65468,project 147582,UNKNOWN,UNDEFINED,
Case 2501,Payment Handled,SYSTEM,2018/04/19 17:31:32.000,organizational unit 65468,project 147582,UNKNOWN,UNDEFINED,
Case 5601,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/24 16:33:27.000,organizational unit 65463,UNKNOWN,task 172697,EMPLOYEE,
Case 5601,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/10/24 16:33:45.000,organizational unit 65463,UNKNOWN,task 172697,ADMINISTRATION,
Case 5601,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/10/29 13:03:32.000,organizational unit 65463,UNKNOWN,task 172697,EMPLOYEE,
Case 1228,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/12 13:57:44.000,organizational unit 65469,project 151278,task 155235,EMPLOYEE,
Case 1228,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/12 13:57:47.000,organizational unit 65469,project 151278,task 155235,ADMINISTRATION,
Case 1228,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/01/15 11:09:52.000,organizational unit 65469,project 151278,task 155235,BUDGET OWNER,
Case 1228,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/16 11:10:49.000,organizational unit 65469,project 151278,task 155235,SUPERVISOR,
Case 1228,Request Payment,SYSTEM,2018/01/16 11:10:51.000,organizational unit 65469,project 151278,task 155235,UNDEFINED,
Case 1228,Payment Handled,SYSTEM,2018/01/18 17:31:10.000,organizational unit 65469,project 151278,task 155235,UNDEFINED,
Case 16,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/01/13 09:36:06.000,organizational unit 65463,project 147556,UNKNOWN,EMPLOYEE,
Case 16,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/01/13 09:36:18.000,organizational unit 65463,project 147556,UNKNOWN,SUPERVISOR,
Case 16,Request For Payment REJECTED by MISSING,STAFF MEMBER,2017/01/16 09:52:47.000,organizational unit 65463,project 147556,UNKNOWN,MISSING,
Case 16,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/01/16 10:08:48.000,organizational unit 65463,project 147556,UNKNOWN,EMPLOYEE,
Case 16,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/01/16 10:09:07.000,organizational unit 65463,project 147556,UNKNOWN,SUPERVISOR,
Case 16,Request Payment,SYSTEM,2017/01/20 10:44:56.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 16,Payment Handled,SYSTEM,2017/01/23 17:32:19.000,organizational unit 65463,project 147556,UNKNOWN,UNDEFINED,
Case 5796,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/02 14:39:08.000,organizational unit 65454,project 147556,task 12326,EMPLOYEE,
Case 5796,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/02 14:43:22.000,organizational unit 65454,project 147556,task 12326,ADMINISTRATION,
Case 5796,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/12 14:48:28.000,organizational unit 65454,project 147556,task 12326,SUPERVISOR,
Case 5796,Request Payment,SYSTEM,2018/11/20 08:26:11.000,organizational unit 65454,project 147556,task 12326,UNDEFINED,
Case 5796,Payment Handled,SYSTEM,2018/11/22 17:31:34.000,organizational unit 65454,project 147556,task 12326,UNDEFINED,
Case 5458,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/16 14:37:59.000,organizational unit 65456,project 147843,UNKNOWN,EMPLOYEE,
Case 5458,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/16 14:38:39.000,organizational unit 65456,project 147843,UNKNOWN,ADMINISTRATION,
Case 5458,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/18 08:46:42.000,organizational unit 65456,project 147843,UNKNOWN,SUPERVISOR,
Case 5458,Request Payment,SYSTEM,2018/10/25 09:26:32.000,organizational unit 65456,project 147843,UNKNOWN,UNDEFINED,
Case 5458,Payment Handled,SYSTEM,2018/10/29 17:31:16.000,organizational unit 65456,project 147843,UNKNOWN,UNDEFINED,
Case 2925,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/24 15:02:12.000,organizational unit 65458,UNKNOWN,task 56449,EMPLOYEE,
Case 2925,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018/04/24 15:02:58.000,organizational unit 65458,UNKNOWN,task 56449,ADMINISTRATION,
Case 2925,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/04/24 16:07:26.000,organizational unit 65458,UNKNOWN,task 56449,EMPLOYEE,
Case 2020,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/28 11:33:21.000,organizational unit 65476,project 147649,UNKNOWN,EMPLOYEE,
Case 2020,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/01 08:43:27.000,organizational unit 65476,project 147649,UNKNOWN,ADMINISTRATION,
Case 2020,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/03/04 20:18:38.000,organizational unit 65476,project 147649,UNKNOWN,BUDGET OWNER,
Case 2020,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/06 08:11:32.000,organizational unit 65476,project 147649,UNKNOWN,SUPERVISOR,
Case 2020,Request Payment,SYSTEM,2018/03/06 13:16:34.000,organizational unit 65476,project 147649,UNKNOWN,UNDEFINED,
Case 2020,Payment Handled,SYSTEM,2018/03/08 17:31:00.000,organizational unit 65476,project 147649,UNKNOWN,UNDEFINED,
Case 1622,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/02/02 09:32:48.000,organizational unit 65454,project 147572,UNKNOWN,EMPLOYEE,
Case 1622,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/02/02 09:32:51.000,organizational unit 65454,project 147572,UNKNOWN,ADMINISTRATION,
Case 1622,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/02/05 11:38:53.000,organizational unit 65454,project 147572,UNKNOWN,BUDGET OWNER,
Case 1622,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/02/12 05:15:34.000,organizational unit 65454,project 147572,UNKNOWN,SUPERVISOR,
Case 1622,Request Payment,SYSTEM,2018/02/16 09:21:35.000,organizational unit 65454,project 147572,UNKNOWN,UNDEFINED,
Case 1622,Payment Handled,SYSTEM,2018/02/19 17:31:34.000,organizational unit 65454,project 147572,UNKNOWN,UNDEFINED,
Case 661,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/09/18 15:08:04.000,organizational unit 65463,project 147582,task 150898,EMPLOYEE,
Case 661,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/09/18 15:08:08.000,organizational unit 65463,project 147582,task 150898,PRE_APPROVER,
Case 661,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/09/25 05:15:08.000,organizational unit 65463,project 147582,task 150898,SUPERVISOR,
Case 661,Request Payment,SYSTEM,2017/09/26 10:14:10.000,organizational unit 65463,project 147582,task 150898,UNDEFINED,
Case 661,Payment Handled,SYSTEM,2017/09/28 17:31:06.000,organizational unit 65463,project 147582,task 150898,UNDEFINED,
Case 5176,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/01 12:14:04.000,organizational unit 65457,project 148052,UNKNOWN,EMPLOYEE,
Case 5176,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/01 12:14:08.000,organizational unit 65457,project 148052,UNKNOWN,ADMINISTRATION,
Case 5176,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/01 14:09:12.000,organizational unit 65457,project 148052,UNKNOWN,BUDGET OWNER,
Case 5176,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/04 09:22:09.000,organizational unit 65457,project 148052,UNKNOWN,SUPERVISOR,
Case 5176,Request Payment,SYSTEM,2018/10/10 13:00:15.000,organizational unit 65457,project 148052,UNKNOWN,UNDEFINED,
Case 5176,Payment Handled,SYSTEM,2018/10/11 17:31:08.000,organizational unit 65457,project 148052,UNKNOWN,UNDEFINED,
Case 786,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/10/10 15:07:33.000,organizational unit 65463,project 147546,UNKNOWN,EMPLOYEE,
Case 786,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/10/11 09:21:00.000,organizational unit 65463,project 147546,UNKNOWN,SUPERVISOR,
Case 786,Request Payment,SYSTEM,2017/10/12 11:43:50.000,organizational unit 65463,project 147546,UNKNOWN,UNDEFINED,
Case 786,Payment Handled,SYSTEM,2017/10/16 17:31:25.000,organizational unit 65463,project 147546,UNKNOWN,UNDEFINED,
Case 4543,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/08/23 08:53:46.000,organizational unit 65465,project 147649,UNKNOWN,EMPLOYEE,
Case 4543,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/08/23 08:53:56.000,organizational unit 65465,project 147649,UNKNOWN,ADMINISTRATION,
Case 4543,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/08/24 16:50:47.000,organizational unit 65465,project 147649,UNKNOWN,SUPERVISOR,
Case 4543,Request Payment,SYSTEM,2018/08/27 10:39:53.000,organizational unit 65465,project 147649,UNKNOWN,UNDEFINED,
Case 4543,Payment Handled,SYSTEM,2018/08/30 17:31:14.000,organizational unit 65465,project 147649,UNKNOWN,UNDEFINED,
Case 2572,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/04/03 15:27:15.000,organizational unit 65458,project 164433,UNKNOWN,EMPLOYEE,
Case 2572,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/04/03 15:27:17.000,organizational unit 65458,project 164433,UNKNOWN,ADMINISTRATION,
Case 2572,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/04/03 16:47:25.000,organizational unit 65458,project 164433,UNKNOWN,SUPERVISOR,
Case 2572,Request Payment,SYSTEM,2018/04/10 09:40:03.000,organizational unit 65458,project 164433,UNKNOWN,UNDEFINED,
Case 2572,Payment Handled,SYSTEM,2018/04/12 17:31:12.000,organizational unit 65458,project 164433,UNKNOWN,UNDEFINED,
Case 3871,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/06/28 09:37:28.000,organizational unit 65468,project 147546,UNKNOWN,EMPLOYEE,
Case 3871,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/06/28 09:37:31.000,organizational unit 65468,project 147546,UNKNOWN,ADMINISTRATION,
Case 3871,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/06/29 15:19:27.000,organizational unit 65468,project 147546,UNKNOWN,BUDGET OWNER,
Case 3871,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/07/03 12:44:09.000,organizational unit 65468,project 147546,UNKNOWN,SUPERVISOR,
Case 3871,Request Payment,SYSTEM,2018/07/03 13:55:01.000,organizational unit 65468,project 147546,UNKNOWN,UNDEFINED,
Case 3871,Payment Handled,SYSTEM,2018/07/05 17:31:35.000,organizational unit 65468,project 147546,UNKNOWN,UNDEFINED,
Case 1465,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/25 14:38:30.000,organizational unit 65462,project 147701,UNKNOWN,EMPLOYEE,
Case 1465,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/25 15:47:04.000,organizational unit 65462,project 147701,UNKNOWN,ADMINISTRATION,
Case 1465,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/26 09:22:57.000,organizational unit 65462,project 147701,UNKNOWN,SUPERVISOR,
Case 1465,Request Payment,SYSTEM,2018/01/28 10:19:27.000,organizational unit 65462,project 147701,UNKNOWN,UNDEFINED,
Case 1465,Payment Handled,SYSTEM,2018/02/01 17:31:18.000,organizational unit 65462,project 147701,UNKNOWN,UNDEFINED,
Case 5710,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/30 09:30:22.000,organizational unit 65476,project 147620,UNKNOWN,EMPLOYEE,
Case 5710,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/30 09:31:21.000,organizational unit 65476,project 147620,UNKNOWN,ADMINISTRATION,
Case 5710,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/02 13:25:04.000,organizational unit 65476,project 147620,UNKNOWN,SUPERVISOR,
Case 5710,Request Payment,SYSTEM,2018/11/08 08:51:51.000,organizational unit 65476,project 147620,UNKNOWN,UNDEFINED,
Case 5710,Payment Handled,SYSTEM,2018/11/12 17:30:47.000,organizational unit 65476,project 147620,UNKNOWN,UNDEFINED,
Case 2284,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/03/14 12:47:54.000,organizational unit 65457,project 147551,UNKNOWN,EMPLOYEE,
Case 2284,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/03/14 12:47:58.000,organizational unit 65457,project 147551,UNKNOWN,ADMINISTRATION,
Case 2284,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/03/15 10:15:20.000,organizational unit 65457,project 147551,UNKNOWN,SUPERVISOR,
Case 2284,Request Payment,SYSTEM,2018/03/15 12:49:12.000,organizational unit 65457,project 147551,UNKNOWN,UNDEFINED,
Case 2284,Payment Handled,SYSTEM,2018/03/19 17:30:54.000,organizational unit 65457,project 147551,UNKNOWN,UNDEFINED,
Case 878,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/11/06 13:52:54.000,organizational unit 65458,project 503,task 3445,EMPLOYEE,
Case 878,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/11/06 13:53:04.000,organizational unit 65458,project 503,task 3445,SUPERVISOR,
Case 878,Request Payment,SYSTEM,2017/11/09 15:57:54.000,organizational unit 65458,project 503,task 3445,UNDEFINED,
Case 878,Payment Handled,SYSTEM,2017/11/13 17:30:56.000,organizational unit 65458,project 503,task 3445,UNDEFINED,
Case 6230,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/11/28 11:25:02.000,organizational unit 65463,project 503,task 8139,EMPLOYEE,
Case 6230,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/11/28 11:26:15.000,organizational unit 65463,project 503,task 8139,ADMINISTRATION,
Case 6230,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/11/28 13:51:50.000,organizational unit 65463,project 503,task 8139,SUPERVISOR,
Case 6230,Request Payment,SYSTEM,2018/11/29 11:26:10.000,organizational unit 65463,project 503,task 8139,UNDEFINED,
Case 6230,Payment Handled,SYSTEM,2018/12/03 17:31:24.000,organizational unit 65463,project 503,task 8139,UNDEFINED,
Case 5310,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/08 15:20:19.000,organizational unit 65465,project 147546,UNKNOWN,EMPLOYEE,
Case 5310,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/08 15:21:10.000,organizational unit 65465,project 147546,UNKNOWN,ADMINISTRATION,
Case 5310,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/10/10 10:35:30.000,organizational unit 65465,project 147546,UNKNOWN,BUDGET OWNER,
Case 5310,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/10 12:14:40.000,organizational unit 65465,project 147546,UNKNOWN,SUPERVISOR,
Case 5310,Request Payment,SYSTEM,2018/10/11 10:23:17.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED,
Case 5310,Payment Handled,SYSTEM,2018/10/15 17:31:13.000,organizational unit 65465,project 147546,UNKNOWN,UNDEFINED,
Case 27,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/01/17 13:54:58.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 27,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/01/17 13:57:08.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 27,Request For Payment REJECTED by MISSING,STAFF MEMBER,2017/01/18 15:11:08.000,organizational unit 65463,project 503,UNKNOWN,MISSING,
Case 6665,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/14 15:30:04.000,organizational unit 65456,project 147620,task 172257,EMPLOYEE,
Case 6665,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/14 15:30:06.000,organizational unit 65456,project 147620,task 172257,ADMINISTRATION,
Case 6665,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/12/17 14:19:06.000,organizational unit 65456,project 147620,task 172257,BUDGET OWNER,
Case 6665,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/12/18 10:02:53.000,organizational unit 65456,project 147620,task 172257,SUPERVISOR,
Case 6665,Request Payment,SYSTEM,2018/12/20 08:50:43.000,organizational unit 65456,project 147620,task 172257,UNDEFINED,
Case 6665,Payment Handled,SYSTEM,2019/01/03 11:59:16.000,organizational unit 65456,project 147620,task 172257,UNDEFINED,
Case 928,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017/11/20 18:34:50.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 928,Request For Payment APPROVED by PRE_APPROVER,STAFF MEMBER,2017/11/20 18:34:54.000,organizational unit 65463,project 503,UNKNOWN,PRE_APPROVER,
Case 928,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017/11/23 10:54:41.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 928,Request Payment,SYSTEM,2017/11/28 08:55:51.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 928,Payment Handled,SYSTEM,2017/11/30 17:31:04.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 6884,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/12/29 08:16:38.000,organizational unit 65454,project 147690,UNKNOWN,EMPLOYEE,
Case 6884,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/12/29 08:16:49.000,organizational unit 65454,project 147690,UNKNOWN,ADMINISTRATION,
Case 6884,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2019/01/03 11:01:45.000,organizational unit 65454,project 147690,UNKNOWN,SUPERVISOR,
Case 6884,Request Payment,SYSTEM,2019/01/08 10:49:08.000,organizational unit 65454,project 147690,UNKNOWN,UNDEFINED,
Case 6884,Payment Handled,SYSTEM,2019/01/10 17:31:09.000,organizational unit 65454,project 147690,UNKNOWN,UNDEFINED,
Case 3388,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/05/30 15:28:50.000,organizational unit 65465,project 147546,UNKNOWN,EMPLOYEE,
Case 3388,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/05/30 15:29:43.000,organizational unit 65465,project 147546,UNKNOWN,ADMINISTRATION,
Case 3388,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018/05/31 14:32:10.000,organizational unit 65465,project 147546,UNKNOWN,BUDGET OWNER,
Case 3388,Request For Payment REJECTED by SUPERVISOR,STAFF MEMBER,2018/06/07 05:15:22.000,organizational unit 65465,project 147546,UNKNOWN,SUPERVISOR,
Case 3388,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018/06/07 12:29:27.000,organizational unit 65465,project 147546,UNKNOWN,EMPLOYEE,
Case 1131,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/01/08 12:25:58.000,organizational unit 65463,project 503,UNKNOWN,EMPLOYEE,
Case 1131,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/01/08 12:26:25.000,organizational unit 65463,project 503,UNKNOWN,ADMINISTRATION,
Case 1131,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/01/08 13:10:04.000,organizational unit 65463,project 503,UNKNOWN,SUPERVISOR,
Case 1131,Request Payment,SYSTEM,2018/01/08 13:31:31.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 1131,Payment Handled,SYSTEM,2018/01/11 17:30:57.000,organizational unit 65463,project 503,UNKNOWN,UNDEFINED,
Case 5252,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018/10/04 16:28:14.000,organizational unit 65482,project 147620,UNKNOWN,EMPLOYEE,
Case 5252,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018/10/04 16:29:13.000,organizational unit 65482,project 147620,UNKNOWN,ADMINISTRATION,
Case 5252,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018/10/08 14:31:25.000,organizational unit 65482,project 147620,UNKNOWN,SUPERVISOR,
